title,tags
The Avengers,"sciencefict action adventur newyork shield marvelcom superhero basedoncomicbook alieninvas superheroteam aftercreditssting duringcreditssting marvelcinematicunivers unexpect enemi emerg threaten global safeti security, nick fury, director intern peacekeep agenc known s.h.i.e.l.d., find need team pull world back brink disaster. span globe, dare recruit effort begins! robertdowneyjr. chrisevan markruffalo josswhedon"
Pirates of the Caribbean: On Stranger Tides,"adventur action fantasi sea captain mutini sword primeminist sail silver ship duke mermaid pirat soldier battl swashbuckl aftercreditssting 3d captain jack sparrow cross path woman past, he' sure love -- ruthless con artist who' use find fabl fountain youth. forc aboard queen anne' revenge, ship formid pirat blackbeard, jack find unexpect adventur know fear more: blackbeard woman past. johnnydepp penélopecruz ianmcshan robmarshal"
Men in Black 3,"action comedi sciencefict timetravel timemachin alien fictionalgovernmentag seeingthefutur changinghistori agent j (will smith) k (tommi lee jones) back...in time. j seen inexplic thing 15 year men black, nothing, even aliens, perplex much wry, retic partner. k' life fate planet put stake, agent j travel back time put thing right. j discov secret univers k never told - secret reveal team young agent k (josh brolin) save partner, agency, futur humankind. willsmith tommyleejon joshbrolin barrysonnenfeld"
The Hobbit: The Battle of the Five Armies,"action adventur fantasi corrupt elv dwarv orc middle-earth(tolkien) hobbit dragon battl unlikelyfriendship epicbattl swordandsorceri immedi event desol smaug, bilbo dwarv tri defend erebor' mountain treasur other claim it: men ruin laketown elv mirkwood. meanwhil armi orc led azog defil march erebor, fuel rise dark lord sauron. dwarves, elv men must unite, hope middle-earth fall bilbo' hands. martinfreeman ianmckellen richardarmitag peterjackson"
The Amazing Spider-Man,"action adventur fantasi lossoffath vigilant serum marvelcom scientificexperi spiderbit maskedvigilant reboot superpow geneticengin socialoutcast duringcreditssting peter parker outcast high schooler abandon parent boy, leav rais uncl ben aunt may. like teenagers, peter tri figur got person today. peter discov mysteri briefcas belong father, begin quest understand parents' disappear – lead directli oscorp lab dr. curt connors, father' former partner. spider-man set collis cours connors' alter ego, lizard, peter make life-alt choic use power shape destini becom hero. andrewgarfield emmaston rhysifan marcwebb"
The Hobbit: The Desolation of Smaug,"adventur fantasi elv dwarv orc hobbit dragon wizard swordandsorceri dwarves, bilbo gandalf success escap misti mountains, bilbo gain one ring. continu journey get gold back dragon, smaug. martinfreeman ianmckellen richardarmitag peterjackson"
The Golden Compass,"adventur fantasi england compass experi lordship uncl polarbear orphan anim basedonyoungadultnovel overhear shock secret, precoci orphan lyra belacqua trade carefre exist roam hall jordan colleg otherworldli adventur far north, unawar part destiny. dakotabluerichard nicolekidman danielcraig chrisweitz"
King Kong,"adventur drama action filmbusi screenplay showbusi filmmak filmproduc exoticisland monster indigen ship dinosaur 1933 new york, overli ambiti movi produc coerc cast hire ship crew travel mysteri skull island, encount kong, giant ape immedi smitten lead lady. naomiwatt jackblack adrienbrodi peterjackson"
Titanic,"drama romanc thriller shipwreck iceberg ship panic titan oceanlin epic richwoman-poorman love disast tragiclov classdiffer imax starcrossedlov steerag salvag richsnob 3d 1910 84 year later, 101-year-old woman name rose dewitt bukat tell stori granddaught lizzi calvert, brock lovett, lewi bodine, bobbi buell anatoli mikailavich keldysh life set april 10th 1912, ship call titan young rose board depart ship upper-class passeng mother, ruth dewitt bukater, fiancé, caledon hockley. meanwhile, drifter artist name jack dawson best friend fabrizio de rossi win third-class ticket ship game. explain whole stori departur death titan first last voyag april 15th, 1912 2:20 morning. katewinslet leonardodicaprio francesfish jamescameron"
Captain America: Civil War,"adventur action sciencefict civilwar war marvelcom sequel superhero basedoncomicbook imax aftercreditssting duringcreditssting marvelcinematicunivers 3d follow event age ultron, collect govern world pass act design regul superhuman activity. polar opinion amongst avengers, caus two faction side iron man captain america, caus epic battl former allies. chrisevan robertdowneyjr. scarlettjohansson anthonyrusso joerusso"
Battleship,"thriller action adventur sciencefict fight u.s.navi mindread hongkong soccer scientist fictionalwar naval armada battleship navalcombat jdsmyoko lostcommun taser buoy communicationsexpert jointchiefsofstaff crashland jetfighterpilot navylieuten permissiontomarri ussjohnpauljon basedonboardgam aftercreditssting mightymo ussmissouri mankind beam radio signal space, repli come ‘planet g’, form sever alien craft splash water hawaii. lieuten alex hopper weapon offic assign uss john paul jones, part intern naval coalit becom world' last hope surviv engag hostil alien forc unimagin strength. take invaders, hopper must also tri live potenti brother, fiancée' father, admir shane, expect him. taylorkitsch alexanderskarsgård rihanna peterberg"
Jurassic World,"action adventur sciencefict thriller monster dna tyrannosaurusrex velociraptor island sequel suspens disast escap dinosaur amusementpark animalattack themepark jurassicpark 3d animalhorror twenty-two year event jurass park, isla nublar featur fulli function dinosaur theme park, jurass world, origin envis john hammond. chrispratt brycedallashoward irrfankhan colintrevorrow"
Skyfall,"action adventur thriller spi secretag sociopath killer artgalleri britishsecretservic istanbulturkey imax uzi boobytrap impersonatingapoliceoffic macao bond' latest assign goe grave wrong agent around world exposed, mi6 attack forc reloc agency. event caus author posit challeng gareth mallory, new chairman intellig secur committee. mi6 compromis insid out, left one alli trust: bond. 007 take shadow - aid field agent, eve - follow trail mysteri silva, whose lethal hidden motiv yet reveal themselves. danielcraig judidench javierbardem sammend"
Spider-Man 2,"action adventur fantasi dualident loveofone'slif pizzaboy marvelcom sequel superhero doctor scientist tentacl death supervillain peter parker go major ident crisis. burn spider-man, decid shelv superhero alter ego, leav citi suffer wake carnag left evil doc ock. meantime, parker still can't act feel mari jane watson, girl he' love sinc childhood. tobeymaguir kirstendunst jamesfranco samraimi"
Iron Man 3,"action adventur sciencefict terrorist waronterror tennesse malibu marvelcom superhero basedoncomicbook tonystark ironman aftercreditssting marvelcinematicunivers mandarin 3d warmachin ironpatriot extremi toni stark' world torn apart formid terrorist call mandarin, start odyssey rebuild retribution. robertdowneyjr. gwynethpaltrow doncheadl shaneblack"
Alice in Wonderland,"famili fantasi adventur basedonnovel fictionalplac queen fantasi aliceinwonderland fantasyworld 3d alice, unpretenti individu 19-year-old, betroth dunc english nobleman. engag party, escap crowd consid whether go marriag fall hole garden spot unusu rabbit. arriv strang surreal place call 'underland,' find world resembl nightmar child, fill talk animals, villain queen knights, frumiou bandersnatches. alic realiz reason – conquer horrif jabberwocki restor right queen throne. miawasikowska johnnydepp annehathaway timburton"
X-Men: The Last Stand,"adventur action sciencefict thriller mutant marvelcom basedoncomicbook superhuman beast cyclop aftercreditssting cure found treat mutations, line drawn amongst x-men brotherhood, band power mutant organ xavier' former ally, magneto. hughjackman halleberri ianmckellen brettratn"
Monsters University,anim famili monster dormitori game anim bestfriend univers scari aftercreditssting look relationship mike sulley day monster univers — necessarili best friends. billycryst johngoodman stevebuscemi danscanlon
Transformers: Revenge of the Fallen,"sciencefict action adventur egypt sun chao symbol artifact transform tank robot imax duringcreditssting sam witwicki leav autobot behind normal life. mind fill cryptic symbols, decepticon target drag back transformers' war. shialabeouf meganfox joshduhamel michaelbay"
Transformers: Age of Extinction,"sciencefict action adventur sequel alien transform giantrobot robot imax transformingrobot human pick pieces, follow conclus ""transformers: dark moon,"" autobot decepticon vanish face planet. however, group powerful, ingeni businessman scientist attempt learn past transform incurs push boundari technolog beyond control - ancient, power transform menac set earth cross-hairs. markwahlberg stanleytucci kelseygramm michaelbay"
Oz: The Great and Powerful,"fantasi adventur famili circu witch magic hope illus lost magictrick wizard 3d oscar diggs, small-tim circu illusionist con-artist, whisk kansa land oz inhabit assum he' great wizard prophecy, save oz clutch evil. jamesfranco milakuni rachelweisz samraimi"
The Amazing Spider-Man 2,"action adventur fantasi obsess marvelcom sequel basedoncomicbook electrocut medicalexperi electr superpow peter parker, life busy. take bad guy spider-man spend time person loves, gwen stacy, high school graduat cannot come quickli enough. peter forgotten promis made gwen’ father protect stay away, promis cannot keep. thing chang peter new villain, electro, emerges, old friend, harri osborn, returns, peter uncov new clue past. andrewgarfield emmaston jamiefoxx marcwebb"
TRON: Legacy,"adventur action sciencefict artificialintellig secretident computerprogram dystopia comput decept duel motorcycl neonlight autocraci sam flynn, tech-savvi dare son kevin flynn, investig father' disappear pull grid. help mysteri program name quorra, sam quest stop evil dictat clu cross real world. garretthedlund jeffbridg oliviawild josephkosinski"
Cars 2,anim famili adventur comedi carrac sequel comedi anthropomorph bestfriend duringcreditssting star race car lightn mcqueen pal mater head oversea compet world grand prix race. road championship becom rocki mater get caught intrigu adventur own: intern espionage. owenwilson larrythecableguy michaelcain johnlasset bradlewi
Green Lantern,"adventur action thriller sciencefict dccomic transform superhero alien alieninfect magicalobject protector superpow origin 3d centuries, small power forc warrior call green lantern corp sworn keep intergalact order. green lantern wear ring grant superpowers. new enemi call parallax threaten destroy balanc power universe, fate fate earth lie hand first human ever recruited. ryanreynold blakel petersarsgaard martincampbel"
Toy Story 3,"anim famili comedi hostag colleg toy barbi anim escap daycar teddybear duringcreditssting toycomestolif personif inanimateobjectscomingtolif toystori woody, buzz, rest andy' toy play years. andi go college, gang find accident left nefari day care center. toy must band togeth escap return home andy. tomhank timallen nedbeatti leeunkrich"
Terminator Salvation,"action sciencefict thriller savingtheworld artificialintellig propheci sanfrancisco cyborg killerrobot gasstat post-apocalypt dystopia armi firearm wartim losangel grown post-apocalypt 2018, john connor must lead resist human increasingli domin militarist robots. marcu wright appears, exist confus mission connor tri determin whether wright come futur past -- whether he' friend foe. christianbal samworthington antonyelchin mcg"
Furious 7,action carrac speed reveng suspens car race musclecar deckard shaw seek reveng domin toretto famili comatos brother. vindiesel paulwalk dwaynejohnson jameswan
World War Z,"action drama horror sciencefict thriller dystopia apocalyps zombi nuclearweapon multipleperspect zombieapocalyps life former unit nation investig gerri lane famili seem content. suddenly, world plagu mysteri infect turn whole human popul rampag mindless zombies. bare escap chaos, lane persuad go mission investig disease. follow peril trek around world lane must brave horrif danger long odd find answer human civil falls. bradpitt mireilleeno abigailhargrov marcforst"
X-Men: Days of Future Past,action adventur fantasi sciencefict 1970 mutant timetravel marvelcom basedoncomicbook superhuman storm beast aftercreditssting changingthepastorfutur ultim x-men ensembl fight war surviv speci across two time period join forc younger selv epic battl must chang past – save future. hughjackman jamesmcavoy michaelfassbend bryansing
Star Trek Into Darkness,"action adventur sciencefict spacecraft friendship sequel futurist space alien imax spaceopera terroristbomb 3d crew enterpris call back home, find unstopp forc terror within organ deton fleet everyth stand for, leav world state crisis. person score settle, captain kirk lead manhunt war-zon world captur one man weapon mass destruction. hero propel epic chess game life death, love challenged, friendship torn apart, sacrific must made famili kirk left: crew. chrispin zacharyquinto zoesaldana j.j.abram"
Jack the Giant Slayer,"action famili fantasi basedonfairytal giant stori ancient war reignit young farmhand unwittingli open gateway world fearsom race giants. unleash earth first time centuries, giant strive reclaim land lost, forc young man, jack battl life stop them. fight kingdom, people, love brave princess, come face face unstopp warrior thought exist legend–and get chanc becom legend himself. nicholashoult eleanortomlinson ewanmcgregor bryansing"
The Great Gatsby,"drama romanc basedonnovel infidel obsess hope 3d adapt f. scott fitzgerald' long island-set novel, midwestern nick carraway lure lavish world neighbor, jay gatsby. soon enough, however, carraway see crack gatsby' nouveau rich existence, obsession, madness, tragedi await. leonardodicaprio tobeymaguir careymulligan bazluhrmann"
Prince of Persia: The Sands of Time,"adventur fantasi action romanc persia sandstorm brotheragainstbroth armageddon regent basedonvideogam rogu princ reluctantli join forc mysteri princess together, race dark forc safeguard ancient dagger capabl releas sand time – gift god revers time allow possessor rule world. jakegyllenha gemmaarterton benkingsley mikenewel"
Pacific Rim,"action sciencefict adventur dystopia giantrobot giantmonst apocalyps imax duringcreditssting 3d legion monstrou creatures, known kaiju, start rise sea, war began would take million live consum humanity' resourc year end. combat giant kaiju, special type weapon devised: massiv robots, call jaegers, control simultan two pilot whose mind lock neural bridge. even jaeger prove nearli defenseless face relentless kaiju. verg defeat, forc defend mankind choic turn two unlik heroes—a washed-up former pilot (charli hunnam) untest traine (rinko kikuchi)—who team drive legendari seemingli obsolet jaeger past. together, stand mankind' last hope mount apocalypse. idriselba charliehunnam charlieday guillermodeltoro"
Transformers: Dark of the Moon,"action sciencefict adventur moon spacecraft traitor bodyguard alienplanet basedoncartoon transform giantrobot sabotag worddomin commando duringcreditssting sam witwicki take first tenuou step adulthood remain reluct human alli autobot-lead optimu prime. film center around space race ussr usa, suggest hidden transform role remain one planet' danger secrets. shialabeouf johnmalkovich kenjeong michaelbay"
Indiana Jones and the Kingdom of the Crystal Skull,"adventur action savingtheworld riddl whip treasur mexicoc leatherjacket machinegun alienphenomenon mayacivil peru treasurehunt nuclearexplos refriger archaeologist indianajon archeolog set cold war, soviet – led sword-wield irina spalko – search crystal skull supernatur power relat mystic lost citi gold. captur escap them, indi coerc head peru behest young man whose friend – indy' colleagu – professor oxley captur knowledg skull' whereabouts. harrisonford cateblanchett shialabeouf stevenspielberg"
The Good Dinosaur,adventur anim famili tyrannosaurusrex friend alternatehistori dinosaur fear storm natur human journey epic journey world dinosaur apatosauru name arlo make unlik human friend. raymondochoa jackbright jeffreywright petersohn
Brave,"anim adventur comedi famili action fantasi scotland rebel braveri kingdom archer wish bear scot rebelliousdaught turnsintoanim archeri ruin aftercreditssting peaceoff womandirector courag 3d brave set mystic scottish highlands, mérida princess kingdom rule king fergu queen elinor. unruli daughter accomplish archer, mérida one day defi sacr custom land inadvert bring turmoil kingdom. attempt set thing right, mérida seek eccentr old wise woman grant ill-fat wish. also figur mérida’ quest — serv comic relief — kingdom’ three lords: enorm lord macguffin, surli lord macintosh, disagre lord dingwall. kellymacdonald juliewalt billyconnolli brendachapman markandrew stevepurcel"
Star Trek Beyond,"action adventur sciencefict sequel strand hatr spaceopera uss enterpris crew explor furthest reach unchart space, encount mysteri new enemi put everyth feder stand test. chrispin zacharyquinto karlurban justinlin"
WALL·E,"anim famili romanticcomedi wall· last robot left earth overrun garbag human fled outer space. 700 year continu tri clean mess, develop rather interest human-lik qualities. ship arriv sleek new type robot, wall· think he' final found friend stow away ship leaves. benburtt elissaknight jeffgarlin andrewstanton"
Rush Hour 3,"action comedi crime thriller ambassador attempt assassin ambassador han, inspector lee detect carter back action head pari protect french woman knowledg triads' secret leaders. lee also hold secret meet unit nation authority, person struggl chines crimin mastermind name kenji, reveal lee' long-lost...brother. christuck jackiechan hiroyukisanada brettratn"
2012,"action adventur sciencefict civil naturaldisast endoftheworld disast apocalyps destruct volcanicerupt mayan ark solar destructionofmankind dr. adrian helmsley, part worldwid geophys team investig effect earth radiat unpreced solar storms, learn earth' core heat up. warn u.s. presid thoma wilson crust earth becom unstabl without proper prepar save fraction world' population, entir race doomed. meanwhile, writer jackson curti stumbl information. world' leader race build ""arks"" escap impend cataclysm, curti struggl find way save family. meanwhile, volcan erupt earthquak unpreced strength wreak havoc around world. johncusack amandapeet chiwetelejiofor rolandemmerich"
A Christmas Carol,"anim drama holiday basedonnovel victorianengland money christmasev scroog christmascarol ghost lesson charlesdicken christma miser ebenez scroog awaken christma eve spirit reveal miser existence, opportun wast youth, current cruelties, dire fate await chang ways. scroog face stori grow bitter meanness, must decid futur hold: death redemption. garyoldman jimcarrey stevevalentin robertzemecki"
Jupiter Ascending,"sciencefict fantasi action adventur jupit space womandirector 3d interspeciesrom univers human genet materi preciou commodity, impoverish young earth woman becom key strateg maneuv intern strife within power dynasty… milakuni channingtatum seanbean lillywachowski lanawachowski"
The Legend of Tarzan,"action adventur africa feralchild tarzan jungl animalattack tarzan, acclim life london, call back former home jungl investig activ mine encampment. alexanderskarsgård margotrobbi christophwaltz davidy"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","adventur famili fantasi savingtheworld witch basedonnovel brothersisterrelationship selfsacrific winter cupboard beaver lion fairy-talefigur battl narnia fantasyworld duringcreditssting sibl lucy, edmund, susan peter step magic wardrob find land narnia. there, discov charming, peac kingdom plung etern winter evil white witch, jadis. aid wise magnific lion, aslan, children lead narnia spectacular, climact battl free witch' glacial power forever. williammoseley annapopplewel skandarkeyn andrewadamson"
X-Men: Apocalypse,"sciencefict mutant supernaturalpow marvelcom superhero basedoncomicbook superhuman apocalyps superheroteam worlddomin aftercreditssting 1980 re-emerg world' first mutant, world-destroy apocalypse, x-men must unit defeat extinct level plan. jamesmcavoy michaelfassbend jenniferlawr bryansing"
The Dark Knight,"drama action crime thriller dccomic crimefight secretident scarecrow sadism chao gothamc vigilant joker superhero basedoncomicbook tragichero organizedcrim criminalmastermind districtattorney imax supervillain superpow batman batman rais stake war crime. help lt. jim gordon district attorney harvey dent, batman set dismantl remain crimin organ plagu streets. partnership prove effective, soon find prey reign chao unleash rise crimin mastermind known terrifi citizen gotham joker. christianbal heathledg aaroneckhart christophernolan"
Up,"anim comedi famili adventur agediffer centralandsouthamerica balloon anim floatingintheair duringcreditssting explor carl fredricksen spent entir life dream explor globe experienc life fullest. age 78, life seem pass by, twist fate (and persist 8-year old wilder explor name russell) give new leas life. edasn christopherplumm jordannagai petedoct"
Monsters vs Aliens,"anim famili adventur sciencefict alien giantrobot duringcreditssting susan murphi unwittingli clobber meteor full outer space gunk wed day, mysteri grow 49-feet-11-inches. militari jump action captur susan, secret away covert govern compound. renam ginormica place confin ragtag group monsters... sethrogen reesewitherspoon hughlauri conradvernon robletterman"
Iron Man,"action sciencefict adventur middleeast armsdeal malibu marvelcom superhero basedoncomicbook tonystark ironman aftercreditssting marvelcinematicunivers counterterror agentcoulson held captiv afghan cave, billionair engin toni stark creat uniqu weapon suit armor fight evil. robertdowneyjr. terrencehoward jeffbridg jonfavreau"
Hugo,"adventur drama famili librari clock filmdirector key toy boy love orphan robot automaton hide filmmak legbrac doberman 3d hugo orphan boy live wall train station 1930 paris. learn fix clock gadget father uncl put use keep train station clock running. thing left connect dead father automaton (mechan man) work without special key hugo need find unlock secret believ contains. adventures, meet shopkeeper, georg melies, work train station adventure-seek god-daughter. hugo find surpris connect father automaton, discov unlock memori old man buri insid regard past. benkingsley sachabaroncohen asabutterfield martinscorses"
Wild Wild West,action adventur comedi sciencefict western steampunk basedontvseri steamlocomot drag legless southern inventor dr. arliss loveless plan rekindl civil war assassin presid u.s. grant. two men stop him: gunfight jame west master-of-disguis inventor artemu gordon. two must team thwart loveless' plans. willsmith kevinklin kennethbranagh barrysonnenfeld
The Mummy: Tomb of the Dragon Emperor,"adventur action fantasi archaeologist rick o'connel travel china, pit emperor 2,000-year-old han dynasti who' return dead pursu quest world domination. time, o'connel enlist help wife son quash so-cal 'dragon emperor' abus supernatur power. brendanfras jetli johnhannah robcohen"
Suicide Squad,"action adventur crime fantasi sciencefict dccomic sharedunivers antihero secretmiss villain superhero supervillain dcextendedunivers dc comic come suicid squad, antihero team incarcer supervillain act deniabl asset unit state government, undertak high-risk black op mission exchang commut prison sentences. willsmith margotrobbi joelkinnaman daviday"
Evan Almighty,fantasi comedi famili fathersonrelationship dailylif marriedcoupl support father marriag faith baustel rescu anim natur duringcreditssting noah'sark god contact congressman evan baxter tell build ark prepar great flood. stevecarel laurengraham johngoodman tomshadyac
Edge of Tomorrow,"action sciencefict dejavu timewarp restart dystopia war alien militaryoffic soldier alieninvas exoskeleton major bill cage offic never seen day combat unceremoni demot drop combat. cage kill within minutes, manag take alpha alien him. awaken back begin day forc fight die again... - physic contact alien thrown time loop. tomcruis emilyblunt brendangleeson dougliman"
Waterworld,"adventur action ocean tattoo mutant water dystopia doomsday futurist world polar ice cap melt made earth liquid planet, beauti barmaid rescu mutant seafar float island prison. escape, along young charge, enola, sail aboard ship. trio soon becom target menac pirat covet map 'dryland' – tattoo enola' back. kevincostn chaimgirafi rickavil kevinreynold"
G.I. Joe: The Rise of Cobra,"adventur action thriller sciencefict terrorist secret hostag technolog warhead govern presid reveng murder attack explos scientist laser evil cobra egyptian desert deep polar ice caps, elit g.i. joe team use latest next-gener spi militari equip fight corrupt arm dealer destro grow threat mysteri cobra organ prevent plung world chaos. dennisquaid channingtatum marlonwayan stephensomm"
Inside Out,"drama comedi anim famili dream cartoon imaginaryfriend anim famili move kid unicorn duringcreditssting 3d emot grow bumpi road, except riley, uproot midwest life father start new job san francisco. like us, riley guid emot - joy, fear, anger, disgust sadness. emot live headquarters, control center insid riley' mind, help advis everyday life. riley emot struggl adjust new life san francisco, turmoil ensu headquarters. although joy, riley' main import emotion, tri keep thing positive, emot conflict best navig new city, hous school. amypoehl phyllissmith richardkind petedoct"
The Jungle Book,"famili adventur drama fantasi basedonnovel snake wolf eleph tiger feralchild panther remak bear jungl talkinganim orphan anim talkingtoanim threat tiger shere khan forc flee jungle, man-cub name mowgli embark journey self discoveri help panther, bagheera, free spirit bear, baloo. neelsethi billmurray benkingsley jonfavreau"
Iron Man 2,"adventur action sciencefict malibu marvelcom superhero basedoncomicbook reveng aftercreditssting marvelcinematicunivers world awar dual life armor superhero iron man, billionair inventor toni stark face pressur government, press public share technolog military. unwil let go invention, stark, pepper pott jame 'rhodey' rhode side, must forg new allianc – confront power enemies. robertdowneyjr. gwynethpaltrow doncheadl jonfavreau"
Snow White and the Huntsman,"adventur fantasi drama queen magic fairytal immort forest decept woman eternalyouth snowwhit evilqueen evilstepmoth imprison sorceress evil queen marri king, perform violent coup king murder daughter, snow white, taken captive. almost decad later, grown snow white still clutch queen. order obtain immortality, evil queen need heart snow white. snow escap castle, queen send huntsman find dark forest. kristenstewart charlizetheron chrishemsworth rupertsand"
Maleficent,"fantasi adventur action famili romanc fairytal villain sleepingbeauti darkfantasi basedonfairytal adapt retel literaryadapt 3d untold stori disney' icon villain 1959 classic 'sleep beauty'. beautiful, pure-heart young woman, malefic idyl life grow peaceabl forest kingdom, one day invad armi threaten harmoni land. malefic rise land' fiercest protector, ultim suffer ruthless betray – act begin turn heart stone. bent revenge, malefic face epic battl invad king' successor and, result, place curs upon newborn infant aurora. child grows, malefic realiz aurora hold key peac kingdom - maleficent' true happi well. angelinajoli ellefan sharltocopley robertstromberg"
Dawn of the Planet of the Apes,"sciencefict action drama thriller leader coloni post-apocalypt dystopia forest sequel wood ape scientist monkey medicalresearch animalattack plagu 3d group scientist san francisco struggl stay aliv aftermath plagu wipe humanity, caesar tri maintain domin commun intellig apes. andyserki jasonclark garyoldman mattreev"
